MolecularWeight,LogP,NumHDonors,NumHAcceptors,TPSA,NumRotatableBonds,molecule_chembl_id,canonical_smiles,log_standard_value
342.23600000000005,5.431700000000004,0,2,16.380000000000003,3,CHEMBL245476,COc1ccc(/C=C/c2cc(Br)cc(/C=C/c3ccc(OC)c(OC)c3)c2)cc1OC,4.301051709845226
368.4770000000002,3.5161000000000024,1,5,54.70000000000001,7,CHEMBL4463033,COc1cc(O)c2c(=O)cc(-c3ccc(O)cc3)oc2c1-c1c(OC)cc(O)c2c(=O)cc(-c3ccc(O)cc3)oc12,4.238071206130559
365.477,4.737900000000003,2,4,49.52,5,CHEMBL2386721,CC1(C)OC(N)=N[C@](C)(c2nc(NC(=O)c3ncc(C#N)cc3Cl)ccc2F)C1(F)F,0.9030899869919436
392.8460000000001,4.249620000000003,1,5,72.8,4,CHEMBL4845958,COc1cc(-c2cncn2CCC(=O)NCCc2ccccc2)ccc1OCc1ccccc1,3.996117476137288
357.40600000000006,2.6169000000000016,1,6,72.14,7,CHEMBL5408406,Cc1ccc(NC[C@@H]2CCCN3CCCC[C@H]23)c2c(=O)c3cc(O)ccc3sc12,3.7709256146389993
253.236,3.510200000000001,1,3,54.71,1,CHEMBL2048312,NC(=O)c1ccc(-c2cc3cc(O)ccc3o2)c(F)n1,1.6532125137753435
499.0730000000002,4.567900000000004,1,5,87.15,7,CHEMBL231125,CN1CCN(C(=O)OCCCC2CCc3ccccc3N2S(=O)(=O)c2ccc(Cl)cc2)CC1,2.8926510338773004
571.0230000000001,3.7389000000000023,0,8,112.52,6,CHEMBL3653726,CC#Cc1cncc(-c2ccc3c(c2)[C@@]2(N=C(C)C(N)=N2)[C@]2(CC[C@H](O)CC2)C3)c1,0.3010299956639812
264.332,2.866600000000001,2,4,63.83,4,CHEMBL3797363,COc1cc(C(=O)OCC(=O)Nc2c3c(nc4ccccc24)CCCC3)cc(OC)c1OC,1.501606922418829
309.36500000000007,3.176000000000002,0,4,30.93,1,CHEMBL3261067,Cc1cc(C#N)cnc1C(=O)Nc1ccc(F)c([C@]2(C)CO[C@@](C)(C(F)(F)F)C(N)=N2)c1,0.6020599913279624
